source_url,category,parent_force,state_covered,verification_status,confidence,google_maps_link,,alternate_phone,web site,asset_type,district,name,phone,id,latitude,google_maps_link ,website,address,battalion,longitude
78.4533,,,,https://nims.edu.in/,VERIFIED,https://www.googl e.com/maps/search/?api=1&query=17.4222,['HIGH'],040-23489244,,Hospital,Hyderabad,Nizam's Institute of Medical Sciences (NIMS),040-23489000,hosp_001,17.4222,,https://nims.edu.in/,"Punjagutta Road, Punjagutta Market, Punjagutta, Hyderabad, Telangana 500082",,78.4533
78.4764,,,,https://omc.ac.in/,VERIFIED,https://www.google.c om/maps/search/?api=1&query=17.3732,['HIGH'],040-24600146,,Hospital,Hyderabad,Osmania General Hospital,040-24600121,hosp_002,17.3732,,https://omc.ac.in/,"15-5-104, Begum Bazar, Afzal Gunj, Hyderabad, Telangana 500012",,78.4764
78.4589,,,,https://nilouferhospital.in/,VERIFIED,https://www.g oogle.com/maps/search/?api=1&query=17.4042,['HIG H'],9343180000,,Hospital,Hyderabad,Niloufer Hospital for Women and Children,040-23394265,hosp_003,17.4042,,https://nilouferhospital.in/,"11-4-721, Niloufer Hospital Rd, Red Hills, Lakdikapul, Hyderabad, Telangana 500004",,78.4589
78.502,,,,https://www.prognohealth.com/blog/general/list-of-gove rnment-hospitals-in-hyderabad,VERIFIED,https://www.google.com/maps /search/?api=1&query=17.3965,['MEDIUM'],UNVERIFIED,,Hospital,Hyderabad,Sir Ronald Ross Institute of Tropical and Communicable Diseases (Fever Hospital),040-27403912,hosp_004,17.3965,,UNVERIFIED,"Nallakunta, Hyderabad, Telangana 500044",,78.502
78.4835,,,,https://www.roc-taiwan.org/inmaa_en/post/3246.html,V ERIFIED,https://www.google.com/map s/search/?api=1&query=17.3892,['MEDIUM'],UNVERIFIED,,Hospital,Hyderabad,District Hospital King Koti,040-24753474,hosp_005,17.3892,,UNVERIFIED,"3-5-773, King Koti Rd, King Koti, Hyderguda, Hyderabad, Telangana 500001",,78.4835
78.5028,,,,https://gmcsecunderabad.org/, VERIFIED,https:// www.google.com/maps/search/?api=1&query=17.4244,['HIGH'],040-27502742,,Hospital,Secunderabad,Gandhi Medical College & Hospital,040-27505566,hosp_006,17.4244,,https://gmcsecunderabad.org/,"Bhoiguda Road, M.I.G.H colony, Musheerabad, Padmarao Nagar, Secunderabad, Telangana 500003",,78.5028
78.4842,,,,https://www.kims hospitals.com/secunderabad/,VERIFIED,https://www.google.com/maps/search/?api=1&query=17.4335,['HIGH'],UNVERIFIED,,Hospital,Secunderabad,KIMS Hospital (Krishna Institute of Medical Sciences),040-44885000,hosp_007,17.4335,,https://www.kimshospitals.com/secunderabad/,"1-8-31/1, Minister Road, Secunderabad, Telangana 500003",,7 8.4842
78.0928,,,,https://gmcsangareddy.org/,VERIFIED,https://www.go ogle.com/maps/search/?api=1&query=17.6294,['HI GH'],7036030242,,Hospital,Sangareddy,Government General Hospital Sangareddy,8688265135,hosp_008,17.6294,,https://gmcsangareddy.org/,"Beside Collectorate Office, Ahmed Nagar, Sangareddy, Telangana 502001",,78.0928
78.1259,,,,https://mnrmch.mnrindia.org/,VERIFI ED,https://ww w.google.com/maps/search/?api=1&query=17.6213,['HIGH'],08455-230527,,Hospital,Sangareddy,MNR Medical College & Hospital,08455-230523,hosp_009,17.6213,,https://mnrmch.mnrindia.org/,"MNR Nagar, Fasalwadi, Sangareddy, Telangana 502294",,78.1259
79.6015,,,,https://warangal.telangana.g ov.in/health/,VERIFIED,htt ps://www.google.com/maps/search/?api=1&query=17.9812,['HIGH'],9849903030,,Hospital,Warangal,Mahatma Gandhi Memorial (MGM) Hospital,0870-2425556,hosp_010,17.9812,,https://www.kmcwgl.com/mgmh.html,"Near MGM Circle, Sherpura, Mattewada, Warangal, Telangana 506002",,79.6015
79.6033,,,,https://warangal.telangana.gov.in/health/,VERIFIED,https://www.google.com/maps/ search/?api=1&query=17.9785,['HIGH'],UNVERIFIED,,Hospital,Warangal,CKM Government Maternity Hospital,9849903033,hosp_011,17.9785,,UNVERIFIED,"H. No. 8, Matwada, 8-216, Market Street, Sri Krishna Colony, Girmajipet, Warangal, Telangana 506002",,79.6033
79.6022,,,,https://warangal.telangana.gov.in/health/,VERIFIED,https://www.google.com/maps/ search/?api=1&query=17.9855,['HIGH'],UNVERIFIED,,Hospital,Warangal,Regional Eye Hospital Warangal,9849191090,hosp_012,17.9855,,UNVERIFIED,"Auto Nagar Rd, M.G.M, Auto Nagar, Kothawada, Warangal, Telangana 506002",,79.6022
78.0987,,,,https://nizamabad.telangana.gov.in/medi cal-health/,VERIFIED,https://www.go ogle.com/maps/search/?api=1&query=18.6743,['HIGH'],08462-221943,,Hospital,Nizamabad,Government General Hospital Nizamabad,8074355406,hosp_013,18.6743,,http://gmcnizamabad.org/,"GGH Road, Khaleelwadi, Nizamabad, Telangana 503001",,78.0987
78.095,,,,https://www.cholainsurance.com/cashles s-hospitals/nizamabad,VERIFIED,https://www.g oogle.com/maps/search/?api=1&query=18.672,['HIGH'],UNVERIFIED,,Hospital,Nizamabad,Pragathi Hospital Nizamabad,08462-224321,hosp_014,18.672,,https://pragathihospitals.com/,"G.H. Road, Ashok Nagar, Khaleelwadi, Nizamabad, Telangana 503001",,78.095
79.1321,,,,https://karimnagar.telangana.go v.in/directory/,VERIFIED,https:/ /www.google.com/maps/search/?api=1&query=18.4355,['HIGH'],9944387201,,Hospital,Karimnagar,Government General Hospital Karimnagar,9246474802,hosp_015,18.4355,,https://www.gmcknr.com/gmcknr.html,"Christian Colony, Karimnagar, Telangana 505001",,79.1321
79.1555,,,,https://caims.in/,VERIFIED,https://www.google.com /maps/search/?api=1&query=18.4611,['HIGH'],0878-2285565,,Hospital,Karimnagar,Chalmeda Anand Rao Institute of Medical Sciences (CAIMS),0878-2224922,hosp_016,18.4611,,https://caims.in/,"Bommakal, Karimnagar, Telangana 505001",,79.1555
80.1415,,,,https://gmckhammam.org/government-g eneral-hospital/,VERIFIED,https://www.go ogle.com/maps/search/?api=1&query=17.2514,['HIGH'],08742-222301,,Hospital,Khammam,Government General Hospital Khammam,6304525859,hosp_017,17.2514,,https://gmckhammam.org/,"Near Khammam Railway Station, Wyra Road, Khammam, Telangana 507001",,80.1415
80.1344,,,,http://mamatamedicalcolle ge.com/,VERIFIED,htt ps://www.google.com/maps/search/?api=1&query=17.2604,['HIGH'],08742-230850,,Hospital,Khammam,Mamata General & Super Speciality Hospital,08742-230860,hosp_018,17.2604,,http://mamatamedicalcollege.com/,"Giriprasad Nagar, Wyra Road, Khammam, Telangana 507002",,80.1344
79.61,,,,https://suryapet.telangana.gov.in/district-officers/,VER IFIED,https://www.google.co m/maps/search/?api=1&query=17.14,['HIGH'],9848051732,,Hospital,Suryapet,Government General Hospital Suryapet,9848011080,hosp_019,17.14,,https://gmcsuryapet.com/,"GGH Campus, Suryapet, Telangana 508213",,79.61
78.83,,,,https://gmcsiddipet.org/contact-us/hospital-college -numbers/,VERIFIED,https://www.google.co m/maps/search/?api=1&query=18.09,['HIGH'],6304745469,,Hospital,Siddipet,Government General Hospital Siddipet,08457-224108,hosp_020,18.09,,https://gmcsiddipet.org/,"Near Komati Cheruvu, P.O. Siddipet, Telangana 502103",,78.83
78.01,,,,https://mahabubnagar.telangana.gov.in/health/,VERIFIED,https://www.google.com/maps/sear ch/?api=1&query=16.75,['HIGH'],08542-241111,,Hospital,Mahabubnagar,Government General Hospital Mahabubnagar,8333811707,hosp_021,16.75,,UNVERIFIED,"Opposite Reliance Mart, PR Colony, Mahabubnagar, Telangana 509001",,78.01
79.28,,,,https://palliumindia.org/clinics/telangana,VERIFIED,https://www.google.com/maps/sear ch/?api=1&query=17.06,['MEDIUM'],8074397083,,Hospital,Nalgonda,Government General Hospital Nalgonda,8790997083,hosp_022,17.06,,UNVERIFIED,"Gollaguda, Rahamath Nagar, Nalgonda, Telangana 508001",,79.28
78.5322,,,,https://rimsadilabad.org/contact/,VERIFIE D,https://www.go ogle.com/maps/search/?api=1&query=19.6641,['HIGH'],08732-220524,,Hospital,Adilabad,Rajiv Gandhi Institute of Medical Sciences (RIMS) Adilabad,08732-220521,hosp_023,19.6641,,https://rimsadilabad.org/,"NH 7, Rickshaw Colony, Adilabad, Telangana 504001",,78.5322
78.2612,,,,https://gmcmedak.org/,VERIFIED,https://www.googl e.com/maps/search/?api=1&query=18.0433,['HIGH'],9848034175,,Hospital,Medak,Government General Hospital Medak,08452-293846,hosp_024,18.0433,,https://gmcmedak.org/,"Jambikunta, Medak District, Telangana 502110",,78.2612
78.9135,,,,https://bodmaseducation.com/governmen t-medical-college-jagityal,VERIFIED,https://www.goo gle.com/maps/search/?api=1&query=18.7915,['HIGH'],UNVERIFIED,,Hospital,Jagtial,Government General Hospital Jagtial,6303877174,hosp_025,18.7915,,https://www.gmcjagtial.com,"Near Old Bus Stand, Jagtial, Telangana 505327",,78.9135
80.6214,,,,https://gmckothagudem.org/,VERIFIED,https://www.go ogle.com/maps/search/?api=1&query=17.5532,['HI GH'],UNVERIFIED,,Hospital,Bhadradri Kothagudem,Government General Hospital Bhadradri Kothagudem,6302030827,hosp_026,17.5532,,https://gmckothagudem.org/,"Palvancha, Bhadradri Kothagudem District, Telangana 507101",,80.6214
78.0614,,,,https://www.gmcwanaparthy.org/,V ERIFIED,https://ww w.google.com/maps/search/?api=1&query=16.3621,['HIGH'],9704879392,,Hospital,Wanaparthy,Government General Hospital Wanaparthy,9848709350,hosp_027,16.3621,,https://www.gmcwanaparthy.org/,"Survey No. 200/3, Marrikunta, Pebbair Road, Wanaparthy, Telangana 509103",,78.0614
79.16,,,,https://gmcjangaon.org,VERIFIED,https://www.google.com/ maps/search/?api=1&query=17.72,['HIGH'],9440264209,,Hospital,Jangaon,Government General Hospital Jangaon,9640710628,hosp_028,17.72,,https://gmcjangaon.org,"Champak Hills, Jangaon, Telangana 506167",,79.16
79.44,,,,https://gmcmancherial.org,VERIFIED,https://www.google. com/maps/search/?api=1&query=18.87,['HIGH'],9440094817,,Hospital,Mancherial,Government General Hospital Mancherial,08736-220106,hosp_029,18.87,,https://gmcmancherial.org,"708, Garmilla Village, Mancherial Tehsil, Telangana 504208",,79.44
78.33,,,,https://www.knruhs.telangana.gov.in/affiliated-colleges/,VERIFIED,https://www.google.com/maps/search /?api=1&query=18.31,['HI GH'],6305600939,,Hospital,Kamareddy,Government General Hospital Kamareddy,9849414876,hosp_030,18.31,,UNVERIFIED,"Office Of The Principal, Government Medical College, Devanpally, Kamareddy, Telangana 503111",,78.33
78.33,,,,https://www.knruhs.telangana.gov.in/affiliated-colleges/,VERIFIED,https://www.google.com/maps/searc h/?api=1&query=16.48,['H IGH'],UNVERIFIED,,Hospital,Nagarkurnool,Government General Hospital Nagarkurnool,7702329573,hosp_031,16.48,,UNVERIFIED,"Survey Number 237, Uyyalawada, Nagarkurnool, Telangana 509209",,78.33
78.34,,,,https://nirmal.telangana.gov.in/public-utility-category/hospitals/,VE RIFIED,https://www.google.com/maps/searc h/?api=1&query=19.09,['HIGH'],9848034175,,Hospital,Nirmal,Government Area Hospital Nirmal,9849653126,hosp_032,19.09,,UNVERIFIED,"Mini Tank Bund Road, Gajulpet, Nirmal, Telangana 504106",,78.34
77.8,,,,https://www.knruhs.telangana.gov.in/affiliated-colleges/,VERIFIED,https://www.google.com/maps/search/ ?api=1&query=16.27,['HIGH'],UNVERIFIED,,Hospital,Jogulamba Gadwal,Government General Hospital Jogulamba Gadwal,8008188253,hosp_033,16.27,,UNVERIFIED,"Shaik Hussain Colony, Gadwal Town, Jogulamba Gadwal District, Telangana 509125",,77.8
79.94,,,,https://www.knruhs.telangana.gov.in/affiliated-colleges/,VERIFIED,https://www.google.com/maps/searc h/?api=1&query=18.19,['HI GH'],7670867046,,Hospital,Mulugu,Government General Hospital Mulugu,9440116365,hosp_034,18.19,,UNVERIFIED,"Government General Hospital, Mulugu, Telangana 506342",,79.94
78.89,,,,https://www.knruhs.telangana.gov.in/affiliated-colleges/,VERIFIED,https://www.google.com/maps/search/ ?api=1&query=17.51,['HIG H'],UNVERIFIED,,Hospital,Yadadri Bhuvanagiri,District Hospital Bhongir,9493467116,hosp_035,17.51,,UNVERIFIED,"District Hospital Bhongir, Yadadri Bhongir District, Telangana 508116",,78.89
[11†L39-L42],,,,UNVERIFIED,LOW,https://www.google.com/maps/search/?api=1&query=Secunderabad+Fire+Station+Secunderabad+Telangana,,8712699429,,Fire Station,Hyderabad,Secunderabad Fire Station,8712699428,1,,,,"Sardar Patel Road, Secunderabad, Hyderabad-500003, Telangana",,(coordinates pending)
[27†L39-L41],,,,UNVERIFIED,LOW,https://www.google.com/ maps/search/?api=1&query=Moula+Ali+Fire+Station+Hyderabad+Telangana,,8712699435,,Fire Station,Ranga Reddy,Moula Ali Fire Station,8712699434,2,,,,"Near IICT, Moula Ali, Hyderabad-500040, Telangana",,(coordinates pending)
[28†L1-L3],,,,UNVERIFIED,LOW,https://www.google.com/maps/search/?api=1&query=Salarjung+Museum+Fire+Station+Hyderabad+Telangana,,8712699417,,Fire Station,Hyderabad,Salarjung Museum Fire Station,8712699416,3,,,,"Salar Jung Museum Road, Naya Pul, Darul Shifa, Hyderabad-500002, Telangana",,(coordinates pending)
[31†L39-L43],,,,UNVERIFIED,LOW,https://www.google.com/maps/search/?api=1&query=Malakpet+Fire+Station+Hyderabad+Telangana,,8712699415,,Fire Station,Hyderabad,Malakpet Fire Station,8712699414,4,,,,"Near Government Printing Press, Chanchalguda, Malakpet, Hyderabad-500036, Telangana",,(coordinates pending)
[34†L30-L33],,,,UNVERIFIED,LOW,https://www.google.com/maps/search/?api=1&query=Langer+House+Fire+Station+Hyderabad+Telangana,,8712699421,,Fire Station,Hyderabad,Langer House Fire Station,8712699420,5,,,,"9-1-20/A/2, Beside Kendriya Vidyalaya, Langer House, Hyderabad-500008, Telangana",,(coordinates pending)
[20†L85-L92],,,,UNVERIFIED,LOW,,,8712699433,,Fire Station,Hyderabad,Snorkel Fire Station, 8712699432,6,,,,Secunderabad Cantonment (Hyderabad),,(coordinates pending)
UNVERIFIED,,,,LOW,,[20†L89-L92],,,,Fire Station,Hyderabad,Chandulal Baradari Fire Station,8712699412,7,(coordinates pending),,,"Bahadurpura, Hyderabad-500064, Telangana",,
[36†L30-L34],,,,UNVERIFIED,LOW,https://www.google.com/maps/search/?api=1&query=Moghalpura+Fire+Station+Hyderabad+Telangana,,8712699409,,Fire Station,Hyderabad,Moghalpura Fire Station,8712699408,8,,,,"23-1-664, Opposite Charminar Bus Stop, Moghalpura, Hyderabad-500002, Telangana",,(coordinates pending)
[39†L39-L42],,,,UNVERIFIED,LOW,https://www.google.com/ maps/search/?api=1&query=Sanath+Nagar+Fire+Station+Hyderabad+Telangana,,8712699431,,Fire Station,Hyderabad,Sanath Nagar Fire Station,8712699430,9,,,,"Sanath Nagar, Hyderabad-500018, Telangana",,(coordinates pending)
[40†L30-L34],,,,UNVERIFIED,LOW,https://www.google.com/maps/search/?api=1&query=Gowliguda+Fire+Station+Hyderabad+Telangana,,8712699411,,Fire Station,Hyderabad,Gowliguda Fire Station,8712699410,10,,,,"5-1-1071/72, Near Gurudwara, Gowliguda, Hyderabad-500012, Telangana",,(coordinates pending)
https://www.indianredcross.org/ircs/ ircsbloodbanks/,,,,Verified,HIGH, ,,,,Blood Bank,Bhadradri Kothagudem,IRCS Blood Centre Bhadrachalam, 9494728027,1, ,, ,"9-1-18/4, Flood Shelter, Kunavaram Road, Medical Colony, Bhadrachalam, Telangana 507111",, 
https://www.indianredcross.org/ircs/ ircsbloodbanks/,,,,Verified,HIGH, ,,08702456765,,Blood Bank,Warangal,IRCS Blood Centre Hanumakonda, 8247314427,2, ,, ,"2-7-941, Opposite District Collectorate, Subedari, Hanumakonda, Telangana 506001",, 
https:// www.indianredcross.org/ircs/ircsbloodbanks/,,,,Verified,HIGH, ,,08782970077,,Blood Bank,Karimnagar,IRCS Blood Centre Karimnagar,9949518963,3, ,, ,"4-1-22, Near SBI Main Branch, Osmanpura, Karimnagar, Telangana 505001",, 
https:// www.indianredcross.org/ircs/ircsbloodbanks/,,,,Verified,HIGH, ,,,,Blood Bank,Nizamabad,IRCS Blood Centre Nizamabad,8688887004,4, ,, ,"#5-5-8/1, Behind MRO Office Khaleelwadi, Nizamabad, Telangana 503001",, 
https://www.indianredcross.org/ircs/ ircsbloodbanks/,,,,Verified,HIGH, ,,04027633087,,Blood Bank,Hyderabad,Red Cross Blood Centre Vidyanagar, 7032888001,5, ,, ,"#1-9-310, Vidyanagar, Street No.14, Achyuthreddy Marg, Hyderabad, Telangana 500044",, 
https://emri.in/,,,,VERIFIED,HIGH,,,,,Ambulance Service,Statewide,108 Emergency Response Service (GVK EMRI) - Telangana Statewide,108,1,,,https://emri.in/,"GVK EMRI, Devar Yamzal, Medchal, Hyderabad -501401",,
https://emri.in/,,,,VERIFIED,HIGH,,,,,Ambulance Service,Statewide,104 Health Advice / Mobile Medical Unit Helpline - Telangana,104,2,,,https://emri.in/,Government of Telangana,,
https://hfw.telangana.gov.in/,,,,VERIFIED,MEDI UM,,,,,Ambulance Service,Statewide,102 Amma Vodi / Maternal-Child Transport - Telangana,102,3,,,https://hfw.telangana.gov.in/,Government of Telangana,,
https://hyderabad.telangana.gov.in/helpline/ ,,,,VERIFIED,HIGH,,,108,,Ambulance Service,Statewide,National Ambulance Service (Dial 112 Integrated),112,4,,,https://www.tspolice.gov.in/,Government of Telangana,,
https://hyderabad.telangana. gov.in/helpline/,,,,VERIFIED,HIGH,,,,,Ambulance Service,Hyderabad,Hyderabad District Ambulance Helpline (108),108,5,,,https://hyderabad.telangana.gov.in/helpline/,"Hyderabad District, Telangana",,
https://sangareddy.telangan a.gov.in/helpline/,,,,VERIFIED,HIGH,,,,,Ambulance Service,Sangareddy,Sangareddy District Ambulance Helpline (108),108,6,,,https://sangareddy.telangana.gov.in/helpline/,"Sangareddy District, Telangana",,
https://khammam.telangana.g ov.in/helpline/,,,,VERIFIED,HIGH,,,,,Ambulance Service,Khammam,Khammam District Ambulance Helpline (108),108,7,,,https://khammam.telangana.gov.in/helpline/,"Khammam District, Telangana",,
https://karimnagar.telangana. gov.in/helpline/,,,,VERIFIED,HIGH,,,,,Ambulance Service,Karimnagar,Karimnagar District Ambulance Helpline (108),108,8,,,https://karimnagar.telangana.gov.in/helpline/,"Karimnagar District, Telangana",,
https://nizamabad.telangana. gov.in/helpline/,,,,VERIFIED,MEDIUM,,,,,Ambulance Service,Nizamabad,Nizamabad District Ambulance Helpline (108),108,9,,,https://nizamabad.telangana.gov.in/helpline/,"Nizamabad District, Telangana",,
https://hanumakonda.tela ngana.gov.in/helpline/,,,,VERIFIED,HIGH,,,,,Ambulance Service,Warangal,Warangal District Ambulance Helpline (108),108,10,,,https://hanumakonda.telangana.gov.in/helpline/,"Warangal District, Telangana",,
https://www.ghmc.gov.in/,,,,UNVERIFIE D,LOW ``` Key supporting evidence: - 108 / 104 services in Telangana are operated by GVK EMRI; 108 is the emergency ambulance and 104 the health advisory/mobile medical unit line. - The universal helpline set including Ambulance: 108 and Disaster Help Line: 1077 is confirmed across the official district `.gov.in` helpline pages (Hyderabad,,"[' Sangareddy', ' Khammam', ' Karimnagar', ' Warangal/Hanumakonda).']",,,Ambulance Service,Hyderabad,GHMC / HMR Disaster Ambulance Support (Hyderabad),040-21111111,11,,,https://www.ghmc.gov.in/,"GHMC, Hyderabad, Telangana",,
http://nidm.gov.in/pdf/sbc_sdma .pdf,State SDMA,,,VERIFIED,HIGH,http s://maps.google.com/?q=IRDA+Nanakramguda+Hyderabad,,04023450170,,State SDMA,Hyderabad,Telangana State SDMA - Special Chief Secretary Office,04023452143,1,17.408500,,https://fire.telangana.gov.in,"Telangana Fire Disaster Response Emergency and Civil Defence Department, Beside IRDA Building, Nanakramguda, Financial District, Hyderabad -500032",,78.349200
https://hyderabad.telangana.gov.in/disaster-ma nagement/,State Fire & DM HQ,,,VERIFIED,HIGH,https://maps.google.com/?q=1-7-43+Sa rdar+Patel+Road+Ramgopalpet+Hyderabad,,,,State Fire & DM HQ,Hyderabad,Telangana State Disaster Response and Fire Services Department (HQ),04023442955,2,,,https://fire.telangana.gov.in,"1-7-43/46, Sardar Patel Road, Sappu Bagh Apartment, Jogani, Ramgopalpet, Hyderabad -500003",,
https://en.wikipedia.org/wiki/Telangana_Integrated_Command_an d_Control_Centre,State MADMC,,,VERIFIED,HIGH,https://maps.google.com/ ?q=17.414778+78.427500,,100,,State MADMC,Hyderabad,Telangana State Multi Agency Disaster Management Centre (TGICCC),112,3,17.414778,,https://www.tspolice.gov.in,"Tower-A, ICCC Building, Road No. 12, Banjara Hills, Hyderabad -500034",,78.427500
https://www.ghmc.gov.in/Disaster.aspx,Urban DM Cell,,,VERIFIED,HIGH,https://maps.google.com/?q=GHMC+Tank+ Bund+Hyderabad,,,,Urban DM Cell,Hyderabad,GHMC Disaster Management Cell,9000113667,4,,,https://www.ghmc.gov.in,"CC Complex, Tank Bund Road, Lower Tank Bund, Hyderabad -500063",,
https://en.wikipedia.org/wiki/HYD RAA,Urban Disaster Agency,,,VERIFIED,HIGH,https://maps.go ogle.com/?q=Buddha+Bhavan+Secunderabad+Hyderabad,,9000113667,,Urban Disaster Agency,Hyderabad,HYDRAA - Disaster Management Wing,8712406901,5,,,https://www.hydraa.telangana.gov.in,"Buddha Bhavan, Secunderabad, Hyderabad, Telangana",,
https://hyderabad.telangana.gov.in/disaster-managem ent/,District DDMA,,,VERIFIED,HIGH,https://maps.google.com/?q=6-3-1216+Meth odist+Colony+Begumpet+Hyderabad,,,,District DDMA,Hyderabad,Hyderabad District Disaster Management Authority (DDMA),04023305263,6,,,http://www.wcdm.info,"# 6-3-1216/45A, Monarick Building, Methodist Colony, Kundanbagh Colony, Begumpet, Hyderabad -500016",,
https://khammam.telangana.gov.in/disaster-management/,District DDMA,,,VERIFIED,HIGH,https://maps.google.com/?q=Khamm am+Collectorate,,108,,District DDMA,Khammam,Khammam District Disaster Management Authority (DDMA),1078,7,,,https://khammam.telangana.gov.in,"District Collectorate, V.V. Palem, Khammam, Telangana -507318",,
https://warangal.telangana.gov.in/disaster-management/,District DDMA,,,VERIFIED ,HIGH,https://maps.google.com/?q=Waran gal+District+Collectorate,,108,,District DDMA,Warangal,Warangal District Disaster Management Authority (DDMA),1078,8,,,https://warangal.telangana.gov.in,"District Collectorate, Warangal, Telangana",,
https://hanumakonda.telangana.gov.in/disaster-management/,District DDMA,,,VE RIFIED,HIGH,https://maps.google.com/?q=H anumakonda+Collectorate,,108,,District DDMA,Hanumakonda,Hanumakonda District Disaster Management Authority (DDMA),1078,9,,,https://hanumakonda.telangana.gov.in,"District Collectorate, Hanumakonda, Telangana",,
https://mahabubabad.telangana.gov.in/disaster-management/,District DDMA,,,V ERIFIED,HIGH,https://maps.google.com/?q= Mahabubabad+Collectorate,,108,,District DDMA,Mahabubabad,Mahabubabad District Disaster Management Authority (DDMA),1078,10,,,https://mahabubabad.telangana.gov.in,"District Collectorate, Mahabubabad, Telangana",,
https://suryapet.telangana.gov.in/disaster-management/,District DDMA,,,VERIFIED,HIGH,https://maps.google.com/?q=Suryap et+Collectorate,,108,,District DDMA,Suryapet,Suryapet District Disaster Management Authority (DDMA),1078,11,,,https://suryapet.telangana.gov.in,"District Collectorate, Suryapet, Telangana",,
https://jangaon.telangana.gov.in/disaster-management/,District DDMA,,,VERIFIED,HIGH,https://maps.google.com/?q=Jangao n+Collectorate,,108,,District DDMA,Jangaon,Jangaon District Disaster Management Authority (DDMA),1078,12,,,https://jangaon.telangana.gov.in,"District Collectorate, Jangaon, Telangana",,
https://bhoopalapally.telangana.gov.in/disaster-management/,District DDMA,,,VERIF IED,HIGH,https://maps.google.com/?q=B hupalpally+Collectorate,,108,,District DDMA,Jayashankar Bhupalpally,Jayashankar Bhupalpally District Disaster Management Authority (DDMA),1078,13,,,https://bhoopalapally.telangana.gov.in,"District Collectorate, Bhupalpally, Telangana",,
https://sangareddy.telangana.gov.in/helpline/,District DDMA,,,VERIFIED,HIGH,https://maps.google.com/ ?q=Sangareddy+Collectorate,,08455276505,,District DDMA,Sangareddy,Sangareddy District Disaster Management Authority (DDMA),1078,14,,,https://sangareddy.telangana.gov.in,"Integrated Collectorate Complex, Sangareddy -502001",,
